Selling Price,Brand,Model,Trim / Edition,Year of Manufacture,Transmission,Body type,Fuel type,Engine capacity,Mileage
11350000.0,Kia,Sorento,Kia,2012,Automatic,Suv / 4X4,Diesel,2200.0,175000.0
15800000.0,Audi,A3,Advanced Sportsback,2023,Automatic,Hatchback,Petrol,1000.0,35000.0
7290000.0,Ssang Yong,Tivoli,Unknown,2015,Automatic,Suv / 4X4,Petrol,1600.0,169000.0
30000000.0,Mercedes Benz,E180,Amg,2019,Tiptronic,Saloon,Petrol,1497.0,27000.0
9500000.0,Toyota,Allion,Unknown,2010,Tiptronic,Saloon,Petrol,1500.0,141000.0
14875000.0,Mitsubishi,Montero,Sport,2012,Automatic,Suv / 4X4,Diesel,2500.0,105000.0
43500000.0,Bmw,740Le,Lwb M Sport,2018,Automatic,Unknown,Petrol,2000.0,27000.0
2700000.0,Tata,Indica,Xeta,2015,Manual,Hatchback,Petrol,1193.0,155000.0
12600000.0,Honda,Civic,Tech Pack,2018,Automatic,Hatchback,Petrol,1000.0,79000.0
3700000.0,Renault,Kwid,Rxt,2016,Manual,Hatchback,Petrol,800.0,74000.0
5500000.0,Suzuki,Alto,Japan,2018,Automatic,Unknown,Petrol,650.0,74200.0
9900000.0,Toyota,Axio,G Grade,2015,Automatic,Saloon,Hybrid,1500.0,120000.0
9350000.0,Toyota,Axio,G Grade,2014,Automatic,Saloon,Hybrid,1499.0,180000.0
3990000.0,Suzuki,Alto,Unknown,2015,Manual,Hatchback,Petrol,800.0,59774.0
7300000.0,Toyota,Axio,141,2007,Automatic,Saloon,Petrol,1500.0,183000.0
3900000.0,Suzuki,Alto,Unknown,2015,Manual,Hatchback,Petrol,800.0,50238.0
12700000.0,Audi,A3,Sedan Tfsi,2019,Automatic,Saloon,Petrol,1000.0,117000.0
13000000.0,Audi,Q2,Unknown,2018,Automatic,Unknown,Petrol,1000.0,82000.0
5825000.0,Perodua,Axia,G,2017,Automatic,Hatchback,Petrol,1000.0,102000.0
16850000.0,Bmw,318I,"Luxury Line 21,000Km",2017,Automatic,Saloon,Petrol,1500.0,21000.0
2600000.0,Suzuki,Maruti,800,2012,Manual,Hatchback,Petrol,800.0,42000.0
6990000.0,Honda,Crv,Honda,2004,Automatic,Suv / 4X4,Petrol,1999.0,132000.0
36500000.0,Bmw,740E,Iperformance,2017,Automatic,Saloon,Petrol,2000.0,35000.0
19500000.0,Audi,A5,Unknown,2018,Automatic,Saloon,Petrol,1400.0,69000.0
5425000.0,Suzuki,Celerio,Zxi Auto 1St Owner,2017,Automatic,Hatchback,Petrol,1000.0,78000.0
15600000.0,Mercedes Benz,E200,Unknown,2010,Automatic,Saloon,Petrol,1990.0,55000.0
9800000.0,Honda,Vezel,Orange Package,2014,Automatic,Suv / 4X4,Hybrid,1500.0,247000.0
13750000.0,Audi,Q2,Tfsi Sq2,2018,Tiptronic,Suv / 4X4,Petrol,1000.0,61000.0
7450000.0,Toyota,Rush,Automatic 4X4 Suv,2010,Automatic,Suv / 4X4,Petrol,1500.0,156000.0
2700000.0,Maruti Suzuki,Alto,Unknown,2011,Manual,Hatchback,Petrol,800.0,201100.0
1550000.0,Peugeot,305,305,1998,Manual,Saloon,Petrol,1400.0,300000.0
7250000.0,Toyota,Vitz,Toyota Vitz,2011,Automatic,Saloon,Petrol,1320.0,113416.0
6490000.0,Toyota,Premio,Nzt 240,2002,Automatic,Saloon,Petrol,1800.0,197000.0
9250000.0,Dfsk,Glory,Unknown,2021,Tiptronic,Suv / 4X4,Petrol,1500.0,80000.0
12500000.0,Mitsubishi,Montero,Unknown,2003,Automatic,Suv / 4X4,Petrol,3800.0,129000.0
33500000.0,Toyota,Land Cruiser Prado,Fully Loaded,2015,Automatic,Suv / 4X4,Petrol,2700.0,185000.0
12850000.0,Toyota,Land Cruiser Prado,1Kz Fully Loaded,2000,Manual,Suv / 4X4,Diesel,3000.0,154000.0
8750000.0,Nissan,Clipper,Rio Wagon Every,2023,Automatic,Hatchback,Petrol,650.0,5000.0
11000000.0,Nissan,X-Trail,Hybrid,2016,Automatic,Hatchback,Petrol,1997.0,143973.0
11150000.0,Toyota,Prius,G Touring,2013,Automatic,Saloon,Hybrid,1800.0,131000.0
20500000.0,Audi,Q3,S-Line Vorsprung,2019,Tiptronic,Suv / 4X4,Petrol,1500.0,42000.0
9200000.0,Honda,Grace,Ex,2015,Automatic,Saloon,Petrol,1500.0,47500.0
29300000.0,Mercedes Benz,Glb,200 Amg Premium Plus,2020,Automatic,Suv / 4X4,Petrol,1300.0,47000.0
6550000.0,Perodua,Bezza,G Grade,2018,Automatic,Unknown,Petrol,1000.0,58000.0
3650000.0,Nissan,Pulsar,Unknown,1999,Automatic,Saloon,Petrol,1500.0,150000.0
6800000.0,Toyota,Vitz,Unknown,2015,Automatic,Hatchback,Petrol,1000.0,104000.0
19200000.0,Bmw,520D,Unknown,2012,Automatic,Saloon,Diesel,2000.0,155000.0
9800000.0,Toyota,Axio,G Grade,2014,Automatic,Saloon,Hybrid,1500.0,56000.0
5475000.0,Perodua,Axia,G,2016,Automatic,Hatchback,Petrol,1000.0,124000.0
41800000.0,Toyota,Land Cruiser Prado,Tx Shadow Edition,2016,Automatic,Suv / 4X4,Petrol,2700.0,18400.0
6450000.0,Hyundai,Santa Fe,7 Seater,2007,Automatic,Suv / 4X4,Diesel,2000.0,165000.0
8500000.0,Toyota,Aqua,Xurban,2015,Automatic,Hatchback,Hybrid,1500.0,47431.0
3975000.0,Micro,Geely,Unknown,2017,Automatic,Unknown,Petrol,1000.0,60000.0
5650000.0,Suzuki,Wagon R Fx,Fx,2016,Automatic,Hatchback,Petrol,660.0,80000.0
7900000.0,Subaru,Xv,2014,2014,Automatic,Unknown,Petrol,2000.0,149000.0
9000000.0,Mg,Zs,Unknown,2018,Automatic,Suv / 4X4,Petrol,1000.0,60000.0
7600000.0,Toyota,Aqua,Unknown,2014,Automatic,Hatchback,Petrol,1500.0,93000.0
10500000.0,Toyota,Prius,Toyota,2015,Automatic,Hatchback,Hybrid,1800.0,167000.0
3990000.0,Suzuki,Liana,Sport,2006,Manual,Saloon,Petrol,1300.0,155000.0
3990000.0,Toyota,Sprinter,Unknown,1999,Automatic,Saloon,Petrol,1300.0,179000.0
24700000.0,Toyota,Land Cruiser Prado,150,2012,Manual,Unknown,Diesel,2800.0,200000.0
23900000.0,Mercedes Benz,Cla 200,Premium Plus,2019,Automatic,Saloon,Petrol,1322.0,40000.0
5300000.0,Toyota,Vitz,Unknown,2007,Automatic,Hatchback,Petrol,1000.0,121000.0
2100000.0,Kia,Spectra,2001,2001,Manual,Saloon,Petrol,1600.0,90000.0
4890000.0,Nissan,Sunny,Unknown,2007,Manual,Saloon,Petrol,1300.0,275000.0
27500000.0,Mercedes Benz,Cla 200,Unknown,2020,Automatic,Coupé/Sports,Petrol,1332.0,19500.0
19450000.0,Audi,Q3,S-Line 54000Km,2019,Tiptronic,Suv / 4X4,Petrol,1500.0,54000.0
8200000.0,Toyota,Allion,Nzt260 (A15) G-Grade,2007,Automatic,Saloon,Petrol,1500.0,180000.0
6750000.0,Honda,Fit,Gp1,2013,Automatic,Hatchback,Hybrid,1300.0,64000.0
13500000.0,Audi,A3,Unknown,2018,Automatic,Saloon,Petrol,1200.0,160000.0
5600000.0,Daihatsu,Mira,Unknown,2017,Automatic,Hatchback,Petrol,660.0,101244.0
3300000.0,Nissan,March,Nissan March K11,2001,Automatic,Hatchback,Petrol,1000.0,165000.0
15900000.0,Peugeot,5008,Allure,2018,Automatic,Suv / 4X4,Petrol,1200.0,67000.0
49500000.0,Land Rover,Range Rover Sport,Autobiography,2019,Automatic,Suv / 4X4,Petrol,2000.0,55000.0
30000000.0,Mercedes Benz,E300,Amg Coupe,2018,Automatic,Coupé/Sports,Petrol,2000.0,30000.0
39900000.0,Toyota,Land Cruiser Prado,Tx150 Elford,2017,Automatic,Suv / 4X4,Petrol,2700.0,75000.0
6500000.0,Nissan,Tiida,Unknown,2008,Automatic,Saloon,Petrol,1500.0,73500.0
5250000.0,Suzuki,Swift,Style,2007,Automatic,Hatchback,Petrol,1300.0,140000.0
9590000.0,Honda,Vezel,Orange Pack,2014,Automatic,Suv / 4X4,Hybrid,1490.0,163581.0
4300000.0,Isuzu,D-Max,Unknown,1998,Manual,Suv / 4X4,Diesel,2499.0,300000.0
10500000.0,Kia,Sorento,Unknown,2011,Automatic,Suv / 4X4,Diesel,2200.0,130000.0
89500000.0,Porsche,Taycan,Turbo 1 Of 2,2024,Automatic,Coupé/Sports,Electric,800.0,5000.0
12500000.0,Audi,Q2,Unknown,2017,Tiptronic,Unknown,Petrol,1000.0,73000.0
6075000.0,Nissan,Cefiro,J31 Facelift,2007,Automatic,Saloon,Petrol,2400.0,153000.0
8800000.0,Honda,Vezel,2013,2013,Automatic,Station Wagon,Hybrid,1499.0,130000.0
20000000.0,Toyota,Land Cruiser Sahara,Unknown,2005,Manual,Suv / 4X4,Diesel,4500.0,291000.0
6990000.0,Toyota,Vitz,Vitz,2016,Automatic,Hatchback,Petrol,1000.0,105400.0
3940000.0,Suzuki,Alto,Unknown,2008,Automatic,Hatchback,Petrol,650.0,139500.0
6790000.0,Suzuki,Wagon R Fz,Unknown,2018,Automatic,Hatchback,Petrol,650.0,92644.0
